,0,1,2,3,4,5,6,7,8,9,10
157,145,9.87,+1.0,Usain BOLT,21 AUG 1986,JAM,1sf2,,"Olympic Stadium, London (GBR)",05 AUG 2012,1252
158,145,9.87,+1.8,Nesta CARTER,11 OCT 1985,JAM,1f1,,"Moratalaz, Madrid (ESP)",13 JUL 2013,1252
159,145,9.87,0.0,Justin GATLIN,10 FEB 1982,USA,1,,Beijing (CHN),21 MAY 2014,1252
160,145,9.87,+1.6,Asafa POWELL,23 NOV 1982,JAM,1f4,,"Austin, TX (USA)",23 AUG 2014,1252
161,145,9.87,0.0,Tyson GAY,09 AUG 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,1252
162,145,9.87,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,Luzern (SUI),14 JUL 2015,1252
163,145,9.87,0.0,Asafa POWELL,23 NOV 1982,JAM,1f1,,Bellinzona (SUI),21 JUL 2015,1252
164,145,9.87,-0.8,Usain BOLT,21 AUG 1986,JAM,1,,"Olympic Stadium, London (GBR)",24 JUL 2015,1256
165,145,9.87,-1.2,Usain BOLT,21 AUG 1986,JAM,1h2,,"Olympic Stadium, London (GBR)",24 JUL 2015,1259
166,145,9.87,-0.1,Ronnie BAKER,15 OCT 1993,USA,1,,"Stadion Śląski, Chorzów (POL)",22 AUG 2018,1252
167,145,9.87,-0.1,Justin GATLIN,10 FEB 1982,USA,2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1252
168,167,9.88,+1.2,Leroy BURRELL,21 FEB 1967,USA,2,,"Olympic Stadium, Tokyo (JPN)",25 AUG 1991,1248
169,167,9.88,-0.1,Ato BOLDON,30 DEC 1973,TTO,1,,Kuala Lumpur (MAS),17 SEP 1998,1248
170,167,9.88,+2.0,Ato BOLDON,30 DEC 1973,TTO,1,,Oslo (NOR),13 JUL 2001,1248
171,167,9.88,+1.8,Shawn CRAWFORD,14 JAN 1978,USA,1,,"Eugene, OR (USA)",19 JUN 2004,1248
172,167,9.88,+0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Olympic Stadium, Helsinki (FIN)",07 AUG 2005,1248
173,167,9.88,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Rethymno (GRE),21 JUL 2006,1248
174,167,9.88,+1.1,Tyson GAY,09 AUG 1982,USA,1,,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1248
175,167,9.88,+0.4,Asafa POWELL,23 NOV 1982,JAM,1f1,,Stockholm (SWE),22 JUL 2008,1248
176,167,9.88,+0.4,Asafa POWELL,23 NOV 1982,JAM,2,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1248
177,167,9.88,0.0,Asafa POWELL,23 NOV 1982,JAM,2,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1248
178,167,9.88,-0.2,Tyson GAY,09 AUG 1982,USA,1,,Thessaloniki (GRE),12 SEP 2009,1249
179,167,9.88,+1.2,Asafa POWELL,23 NOV 1982,JAM,1h2,,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1248
180,167,9.88,+1.0,Walter DIX,31 JAN 1986,USA,2f2,,Luzern (SUI),08 AUG 2010,1248
181,167,9.88,+0.9,Ryan BAILEY,13 APR 1989,USA,2,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1248
182,167,9.88,+1.0,Michael FRATER,06 OCT 1982,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1248
183,167,9.88,+1.0,Usain BOLT,21 AUG 1986,JAM,1,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1248
184,167,9.88,+0.4,Asafa POWELL,23 NOV 1982,JAM,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1248
185,167,9.88,+1.1,Asafa POWELL,23 NOV 1982,JAM,3,,Kingston (JAM),29 JUN 2012,1248
186,167,9.88,+1.5,Ryan BAILEY,13 APR 1989,USA,1h3,,"Olympic Stadium, London (GBR)",04 AUG 2012,1248
187,167,9.88,+1.5,Ryan BAILEY,13 APR 1989,USA,4,,"Olympic Stadium, London (GBR)",05 AUG 2012,1248
188,167,9.88,+1.5,Tyson GAY,09 AUG 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1248
189,167,9.88,+1.4,Michael RODGERS,24 APR 1985,USA,1,,"Moratalaz, Madrid (ESP)",11 JUL 2015,1248
190,167,9.88,+1.0,Usain BOLT,21 AUG 1986,JAM,1f1,,Kingston (JAM),11 JUN 2016,1248
191,167,9.88,+1.9,Jimmy VICAUT,27 FEB 1992,FRA,1,,Angers (FRA),25 JUN 2016,1248
192,167,9.88,+1.1,Noah LYLES,18 JUL 1997,USA,1,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1248
193,167,9.88,+0.8,Ronnie BAKER,15 OCT 1993,USA,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1248
194,167,9.88,-0.3,Christian COLEMAN,06 MAR 1996,USA,1sf1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1249
195,167,9.88,+1.5,Trayvon BROMELL,10 JUL 1995,USA,1,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30 APR 2021,1248
196,167,9.88,+1.9,Ronnie BAKER,15 OCT 1993,USA,1h4,,"Hayward Field, Eugene, OR (USA)",19 JUN 2021,1248
197,196,9.89,+0.7,Frank FREDERICKS,02 OCT 1967,NAM,2,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1245
198,196,9.89,+0.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Modesto, CA (USA)",10 MAY 1997,1245
199,196,9.89,+1.5,Bruny SURIN,12 JUL 1967,CAN,1,,Montréal (CAN),01 AUG 1998,1245
200,196,9.89,+0.9,Maurice GREENE,23 JUL 1974,USA,1f1,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1245
201,196,9.89,0.0,Shawn CRAWFORD,14 JAN 1978,USA,1qf2,,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1245
202,,,,,,,,,,,
203,196,9.89,+0.6,Shawn CRAWFORD,14 JAN 1978,USA,4,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1245
204,196,9.89,+1.0,Justin GATLIN,10 FEB 1982,USA,1,,"Crystal Palace, London (GBR)",22 JUL 2005,1245
205,196,9.89,+0.9,Asafa POWELL,23 NOV 1982,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1245
